scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wtest_000,bau,72.0,W,0.0,0.0,0.0,1399.4147733468194,0.0,1399.4147733468194,0.0,0.0,0.0,0.0,21.55713016986636,22720.490186041665,0.0,22720.490186041665,0.0,0.0,0.0,-1433158.4653852535,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37844.83484501855,123478.35386701243,100.0,100.0,0.0,0.0,0.0,123478.35386701243,0.0,408522.8142766657
1,demo_wtest_001,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,19513.328814461664,56341.63909897983,-1083970.8080476339,101248.153490679,93392.9738060314,7855.179684647601,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,56341.63909897983,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,93392.97380603138,0.0,408522.8142766657
2,demo_wtest_002,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,0.0,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,19513.328814461664,64257.093749844214,-1175841.9780542974,101248.153490679,101308.4284568958,-60.27496621679515,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,64257.093749844214,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,101308.4284568958,0.0,408522.8142766657
3,demo_wtest_003,en_pv,72.0,W,18000.0,2647.9291921353265,16403.405514916245,1170.8679990786018,0.0,1170.8679990786018,0.0,0.0,0.0,0.0,21.55713016986636,16945.65755701962,0.0,16945.65755701962,0.0,19513.328814461664,35051.784912866926,-836868.9169217855,101248.153490679,72103.1196199185,29145.0338707605,7070.722819213888,313112.2128092128,25.085826471679944,35002.006881738555,35051.784912866926,93.10047672741317,93.1004767274131,23.355024036145636,23.355024036145394,0.0,72103.1196199185,0.0,408522.8142766657
