scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,pt_mike2_000,bau,72.0,W_new,0.0,0.0,0.0,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,0.0,0.0,-1375188.9162889337,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,118483.80185499726,100.0,100.0,0.0,0.0,0.0,118483.80185499726,0.0,408791.90503850946
1,pt_mike2_001,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1561.8925509352619,0.0,1561.8925509352619,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,132393.2041809913,103409.62675153223,28983.577429459077,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
2,pt_mike2_002,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1368.7064069745836,0.0,1368.7064069745836,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.654348189,118483.80181582247,103409.62675153223,15074.175064290259,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.6267515322,0.0,408791.90503850946
3,pt_mike2_003,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1264.0246358326033,0.0,1264.0246358326033,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,110946.71429359981,103409.62675153223,7537.087542067598,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
4,pt_mike2_004,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1159.3428644758933,0.0,1159.3428644758933,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,103409.62675591672,103409.62675153223,4.384499043226242e-06,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
9,pt_mike2_009,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,964.1858161146764,0.0,964.1858161146764,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,89358.31927390913,103409.62675153223,-14051.307477623093,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
10,pt_mike2_010,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1380.3324065835627,0.0,1380.3324065835627,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,119320.87378766888,103409.62675153223,15911.247036136669,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
11,pt_mike2_011,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,709.3855512695159,0.0,709.3855512695159,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,71012.70020505755,103409.62675153223,-32396.926546474668,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
12,pt_mike2_012,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,1164.951715408627,0.0,1164.951715408627,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,103813.46402307355,103409.62675153223,403.8372715413384,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153224,0.0,408791.90503850946
